"","Grup","Casa2Test","Casa2Ex","Taller3","Taller7"
"201",3,NA,NA,8,4.5
"202",3,3.1,5,8,8.5
"203",3,2.4,4,6,1.5
"204",3,5.3,5.5,6,1.5
"205",3,4.4,4.6,7,6.5
"206",3,6.7,8.4,7,2.5
"207",3,4.4,7.5,5,2.3
"208",3,2.6,2.1,5.5,4
"209",3,6.7,6.8,6,4.5
"210",3,5.6,5.7,6,6.5
"211",3,5.3,5.5,5.8,7
"212",3,3.3,6.1,6.5,6.5
"213",3,7.6,7.5,8,4
"214",3,5.6,5.5,5.8,3.5
"215",3,7.8,10,5.3,8
"216",3,5.1,5.5,5.8,3.5
"217",3,2.2,6.4,5,0
"218",3,5.8,6.1,5.8,3.5
"219",3,6.7,7.5,7,8.5
"220",3,7.8,6.4,NA,0
"221",NA,NA,NA,NA,NA
"222",NA,NA,NA,NA,NA
"223",NA,NA,NA,NA,NA
"224",NA,NA,NA,NA,NA
"225",NA,NA,NA,NA,NA
"226",NA,NA,NA,NA,NA
"227",NA,NA,NA,NA,NA
"228",NA,NA,NA,NA,NA
"229",NA,NA,NA,NA,NA
"230",NA,NA,NA,NA,NA
"231",NA,NA,NA,NA,NA
"232",NA,NA,NA,NA,NA
"233",NA,NA,NA,NA,NA
"234",NA,NA,NA,NA,NA
"235",NA,NA,NA,NA,NA
"236",NA,NA,NA,NA,NA
"237",NA,NA,NA,NA,NA
"238",NA,NA,NA,NA,NA
"239",NA,NA,NA,NA,NA
"240",NA,NA,NA,NA,NA
"241",NA,NA,NA,NA,NA
"242",NA,NA,NA,NA,NA
"243",NA,NA,NA,NA,NA
"244",NA,NA,NA,NA,NA
"245",NA,NA,NA,NA,NA
"246",NA,NA,NA,NA,NA
"247",NA,NA,NA,NA,NA
"248",NA,NA,NA,NA,NA
"249",NA,NA,NA,NA,NA
"250",NA,NA,NA,NA,NA
"251",NA,NA,NA,NA,NA
"252",NA,NA,NA,NA,NA
"253",NA,NA,NA,NA,NA
"254",NA,NA,NA,NA,NA
"255",NA,NA,NA,NA,NA
"256",NA,NA,NA,NA,NA
"257",NA,NA,NA,NA,NA
"258",NA,NA,NA,NA,NA
"259",NA,NA,NA,NA,NA
"260",NA,NA,NA,NA,NA
"261",NA,NA,NA,NA,NA
"262",NA,NA,NA,NA,NA
"263",NA,NA,NA,NA,NA
"264",NA,NA,NA,NA,NA
"265",NA,NA,NA,NA,NA
"266",NA,NA,NA,NA,NA
"267",NA,NA,NA,NA,NA
"268",NA,NA,NA,NA,NA
"269",NA,NA,NA,NA,NA
"270",NA,NA,NA,NA,NA
"271",NA,NA,NA,NA,NA
"272",NA,NA,NA,NA,NA
"273",NA,NA,NA,NA,NA
"274",NA,NA,NA,NA,NA
"275",NA,NA,NA,NA,NA
